num_qubits,num_fragments,num_vgates,num_threads,time
70,2,1,1,0.22822318086400628
70,2,1,2,0.11936387000605464
70,2,1,4,0.08768581901676953
70,2,1,8,0.04856261610984802
70,2,1,16,0.057052775053307414
70,2,1,32,0.05796381784603
70,3,2,1,1.4078889589291066
70,3,2,2,0.7188077040482312
70,3,2,4,0.3786830159369856
70,3,2,8,0.2618689560331404
70,3,2,16,0.20396121498197317
70,3,2,32,0.1417502590920776
70,4,3,1,14.526699712034315
70,4,3,2,7.872204734943807
70,4,3,4,4.01978962495923
70,4,3,8,2.646441690856591
70,4,3,16,1.6971894390881062
70,4,3,32,1.0515435561537743
70,5,4,1,309.8151725239586
70,5,4,2,156.3742341559846
70,5,4,4,83.15357437799685
70,5,4,8,45.189544359920546
70,5,4,16,24.21805577399209
70,5,4,32,12.79451931011863
