num_qubits,h_fid_baseline,tv_fid_baseline,h_fid,tv_fid,num_cnots_baseline,depth_baseline,num_cnots,depth,num_vgates,run_time,knit_time
4,0.9888960165013707,0.9137500000000001,0.9252895538477142,0.7486502326967572,25,59,15,42,2,27.562183648995415,4.9359722989975126
6,0.9643335553497664,0.8690500000000001,0.9460404220190554,0.7960833114700179,43,81,29,59,2,25.10977368199383,4.180356033000862
6,0.9625787966023928,0.8671,0.935881430125927,0.7858982019851528,43,83,29,56,2,7.177748303001863,5.048934244994598
8,0.9691883214804053,0.87105,0.8739803288194251,0.701861415228426,56,88,40,55,2,96.37755683399882,4.933666466000432
6,0.9633090811092504,0.8677,0.9580127810691549,0.8594254242761354,43,81,32,58,1,2.6005536249940633,5.237542862996634
6,0.9454450597157095,0.83095,0.9790354557722162,0.8993530913760948,43,81,31,59,1,2.7926106649974827,4.7698178799983
8,0.9695739820839947,0.8623500000000002,0.8744058448280903,0.7100889258320011,56,88,42,52,1,17.975395815999946,4.284056505995977
10,0.9280834007767762,0.8253000000000018,0.9406094293950107,0.8461273950880404,52,88,44,55,1,20.135421576000226,4.198499998994521
6,0.9566140885055578,0.8518000000000001,0.9471433431743649,0.8011679521071973,45,83,29,59,2,7.430629410999245,5.837575614001253
8,0.9688870867095716,0.8580500000000002,0.8770033028176588,0.7016102524115857,56,88,40,55,2,100.24892776599881,4.501022049000312
6,0.9543916369197987,0.8459500000000001,0.9378449443440665,0.7873891588361054,43,82,30,49,2,7.489440865996585,4.4990573009999935
8,0.9712216018363024,0.8743,0.8668743133837765,0.6981915844437936,56,88,40,55,2,101.2142140069991,5.371697923001193
6,0.9794816428419527,0.91525,0.9932884660752289,0.9493271357983498,22,40,8,20,2,152.4262090639968,4.725881215999834
6,0.9731182299982738,0.8825999999999999,0.9537102969262724,0.8054078229961328,43,81,27,53,2,7.149055567999312,4.229531878998387
