num_qubits,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments
4,0,3,6,16,3,4
4,0,3,6,16,3,4
4,0,3,6,16,3,4
6,1,5,13,22,3,4
6,1,5,13,22,3,4
6,1,5,10,22,3,4
8,1,7,13,28,3,4
8,1,7,10,28,3,4
8,1,7,13,28,3,4
10,2,9,13,34,3,4
10,2,9,14,34,3,4
10,2,9,14,34,3,4
12,2,11,14,40,3,4
12,2,11,14,40,3,4
12,2,11,14,40,3,4
14,3,13,19,44,3,4
14,3,13,19,52,3,4
14,3,13,19,44,3,4
16,4,15,20,48,3,4
16,4,15,19,48,3,4
16,3,15,19,48,3,4
18,4,17,20,56,3,4
18,4,17,19,56,3,4
18,4,17,20,56,3,4
20,4,19,20,59,3,4
20,4,19,20,59,3,4
20,4,19,20,59,3,4
22,5,23,22,87,3,4
22,5,47,22,115,3,4
22,5,40,22,107,3,4
24,8,39,32,114,3,4
24,9,56,34,137,3,4
24,9,55,34,117,3,4
