num_qubits,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments
4,1,7,12,23,3,3
4,1,7,12,23,3,3
4,1,7,12,23,3,3
6,2,15,13,28,3,3
6,2,13,13,27,3,3
6,2,15,13,28,3,3
8,3,20,14,28,3,3
8,3,20,14,28,3,3
8,3,20,14,31,3,3
10,4,26,15,40,3,3
10,4,20,14,36,3,3
10,4,20,15,34,3,3
12,5,12,14,23,3,3
12,5,12,16,23,3,3
12,6,12,15,23,3,3
14,6,34,17,54,3,3
14,6,30,14,49,3,3
14,6,24,17,38,3,3
16,7,32,16,50,3,3
16,7,32,17,47,3,3
16,7,28,18,39,3,3
18,8,40,15,75,3,3
18,8,36,18,67,3,3
18,10,30,21,46,3,3
20,11,20,17,31,3,3
20,9,20,19,31,3,3
20,14,20,21,31,3,3
22,16,40,24,69,3,3
4,1,7,12,23,3,3
4,1,7,12,23,3,3
4,1,7,12,23,3,3
6,2,15,13,31,3,3
6,2,15,13,31,3,3
6,2,13,13,29,3,3
8,3,20,14,28,3,3
8,3,20,14,28,3,3
8,3,20,14,31,3,3
10,4,16,15,27,3,3
10,4,16,13,27,3,3
10,4,16,15,27,3,3
12,5,12,16,23,3,3
12,5,12,16,23,3,3
12,5,12,15,23,3,3
14,6,28,17,52,3,3
14,6,36,16,51,3,3
14,6,26,15,58,3,3
16,7,41,16,63,3,3
16,7,32,17,50,3,3
16,7,24,18,44,3,3
18,8,30,19,41,3,3
18,8,42,19,53,3,3
18,8,36,19,68,3,3
20,9,20,16,31,3,3
20,9,20,20,31,3,3
20,9,20,20,31,3,3
22,7,56,18,67,3,3
22,10,40,17,68,3,3
22,10,46,21,80,3,3
24,15,53,25,100,3,3
24,8,63,19,89,3,3
24,11,58,21,92,3,3
