num_qubits,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments
4,0,6,8,14,3,4
4,0,6,8,14,3,4
4,0,6,8,14,3,4
6,2,11,11,22,3,4
6,2,13,11,20,3,4
6,2,10,11,17,3,4
8,6,16,17,32,3,4
8,6,17,14,24,3,4
8,4,18,14,30,3,4
10,4,21,14,23,3,4
10,6,30,17,43,3,4
10,6,25,17,37,3,4
12,8,32,17,38,3,4
12,18,35,37,54,3,4
12,14,34,31,42,3,4
14,19,42,42,58,3,4
14,15,43,26,45,3,4
14,13,44,28,43,3,4
16,18,49,31,42,3,4
16,15,52,31,52,3,4
16,20,44,28,48,3,4
18,20,61,33,51,3,4
18,25,57,40,63,3,4
18,23,58,41,62,3,4
20,25,69,32,54,3,4
20,28,69,40,48,3,4
20,56,72,59,70,3,4
22,32,75,40,70,3,4
22,28,78,37,50,3,4
22,38,85,52,91,3,4
24,40,84,55,91,3,4
24,70,82,59,84,3,4
24,27,82,40,62,3,4
