num_qubits,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments
4,3,9,28,36,3,2
4,3,9,24,36,3,2
4,3,9,24,36,3,2
6,6,15,38,43,3,2
6,6,15,38,44,3,2
6,6,15,38,43,3,2
8,9,21,34,52,3,2
8,9,21,36,52,3,2
8,9,21,34,49,3,2
10,12,27,41,55,3,2
10,12,27,41,55,3,2
10,12,27,41,55,3,2
12,15,33,43,63,3,2
12,15,33,43,61,3,2
12,15,33,43,61,3,2
14,18,39,46,65,3,2
14,18,39,46,65,3,2
14,18,39,46,65,3,2
16,21,45,49,73,3,2
16,21,45,49,73,3,2
16,42,45,80,73,3,1
18,24,51,53,88,3,2
18,24,51,53,88,3,2
18,24,51,53,88,3,2
20,27,57,55,84,3,2
20,27,57,55,84,3,2
20,27,57,55,84,3,2
22,30,77,63,126,3,2
22,30,90,60,125,3,2
22,30,73,60,124,3,2
24,33,92,63,134,3,2
24,33,111,63,139,3,2
24,33,90,63,145,3,2
