num_qubits,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments
4,2,11,11,27,3,3
4,2,11,11,23,3,3
4,2,9,11,26,3,3
6,11,25,23,38,3,2
6,7,21,22,40,3,2
6,13,21,23,33,3,2
8,24,37,34,57,3,1
8,25,43,32,59,3,1
8,25,36,36,60,3,1
10,44,53,43,61,3,1
10,38,51,48,65,3,1
10,40,57,49,75,3,1
12,63,80,64,99,3,1
12,61,71,66,78,3,1
12,56,75,66,68,3,1
14,77,103,86,101,3,1
14,80,88,85,100,3,1
14,82,95,53,76,3,1
16,103,107,81,89,3,1
16,101,116,84,102,3,1
16,96,123,73,79,3,1
18,117,144,77,115,3,1
18,134,153,113,108,3,1
18,113,152,85,87,3,1
20,146,165,104,108,3,1
20,148,175,120,135,3,1
20,129,148,95,120,3,1
22,157,200,97,125,3,1
22,152,177,101,108,3,1
22,160,185,120,134,3,1
24,199,214,96,112,3,1
24,202,213,111,145,3,1
24,167,201,101,105,3,1
