num_qubits,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments
4,2,17,18,48,4,2
4,2,17,18,43,4,2
4,2,17,18,43,4,2
6,4,31,20,58,4,2
6,4,28,20,71,4,2
6,4,31,20,56,4,2
8,6,40,21,56,4,2
8,6,40,21,56,4,2
8,6,40,21,56,4,2
10,8,43,22,71,4,2
10,8,32,22,48,4,2
10,8,32,22,48,4,2
12,20,24,30,40,4,1
12,10,24,23,40,4,2
12,10,24,23,40,4,2
14,12,52,24,77,4,2
14,12,53,24,70,4,2
14,12,75,24,100,4,2
16,14,80,25,96,4,2
16,40,54,47,91,4,1
16,14,56,25,72,4,2
18,44,59,46,84,4,1
18,16,48,26,64,4,2
18,16,61,26,76,4,2
20,18,40,27,56,4,2
20,18,40,27,56,4,2
20,18,40,27,56,4,2
22,20,67,28,100,4,2
22,20,87,28,125,4,2
22,20,54,28,91,4,2
24,77,81,90,126,4,1
24,82,81,89,122,4,1
24,56,81,80,126,4,1
