num_qubits,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments
4,0,7,9,24,3,4
4,0,2,9,12,1,4
4,0,4,9,15,2,4
6,0,26,9,41,10,6
6,0,22,9,45,8,6
6,0,30,9,51,10,6
8,0,43,9,56,14,8
8,12,55,21,53,9,2
8,14,61,21,64,10,1
10,29,82,38,122,13,1
10,36,93,32,89,12,1
10,24,87,32,104,15,1
12,44,137,50,126,20,3
12,56,150,49,122,16,1
12,42,123,46,104,14,2
14,104,188,65,133,13,1
14,68,218,59,170,26,1
14,105,172,87,139,15,2
16,229,289,162,199,11,1
16,132,308,97,239,34,1
16,153,275,110,192,20,1
18,244,366,164,242,20,1
18,212,404,139,261,35,1
18,190,349,131,214,28,1
20,345,474,206,261,24,1
20,387,516,221,317,25,1
20,375,517,258,242,28,1
22,516,685,268,329,25,1
22,613,652,355,344,18,1
22,591,652,357,295,20,1
24,657,764,368,375,18,1
24,617,752,353,350,29,1
24,620,801,323,383,25,1
26,780,983,397,494,38,1
26,853,1033,399,459,44,1
26,963,970,429,486,15,1
