num_qubits,fid,fid_base,esp,esp_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
20,nan,nan,0.9926247102437163,nan,2,nan,11,nan,nan,nan,6,7,192,nan,nan,nan
22,nan,nan,0.989848218409039,nan,3,nan,12,nan,nan,nan,5,6,156,nan,nan,nan
24,nan,nan,0.989848218409039,nan,3,nan,12,nan,nan,nan,5,6,156,nan,nan,nan
26,nan,nan,0.989848218409039,nan,3,nan,12,nan,nan,nan,6,7,192,nan,nan,nan
28,nan,nan,0.989848218409039,nan,3,nan,12,nan,nan,nan,6,7,192,nan,nan,nan
30,nan,nan,0.9870794927591325,nan,4,nan,13,nan,nan,nan,5,6,156,nan,nan,nan
40,nan,nan,0.9843185115710352,nan,5,nan,14,nan,nan,nan,6,7,192,nan,nan,nan
50,nan,nan,0.9788196959920604,nan,7,nan,16,nan,nan,nan,6,7,192,nan,nan,nan
60,nan,nan,0.976081818458389,nan,8,nan,17,nan,nan,nan,6,7,192,nan,nan,nan
70,nan,nan,0.9733515991006005,nan,9,nan,18,nan,nan,nan,6,7,192,nan,nan,nan
80,nan,nan,0.9679140492891968,nan,11,nan,20,nan,nan,nan,6,7,192,nan,nan,nan
90,nan,nan,0.9652066761734693,nan,12,nan,21,nan,nan,nan,6,7,192,nan,nan,nan
20,nan,nan,0.9926247102437163,nan,2,nan,11,nan,nan,nan,6,7,192,nan,nan,nan
22,nan,nan,0.989848218409039,nan,3,nan,12,nan,nan,nan,5,6,156,nan,nan,nan
24,nan,nan,0.989848218409039,nan,3,nan,12,nan,nan,nan,5,6,156,nan,nan,nan
26,nan,nan,0.989848218409039,nan,3,nan,12,nan,nan,nan,6,7,192,nan,nan,nan
28,nan,nan,0.989848218409039,nan,3,nan,12,nan,nan,nan,6,7,192,nan,nan,nan
30,nan,nan,0.9870794927591326,nan,4,nan,13,nan,nan,nan,5,6,156,nan,nan,nan
40,nan,nan,0.9843185115710352,nan,5,nan,14,nan,nan,nan,6,7,192,nan,nan,nan
50,nan,nan,0.9788196959920604,nan,7,nan,16,nan,nan,nan,6,7,192,nan,nan,nan
60,nan,nan,0.976081818458389,nan,8,nan,17,nan,nan,nan,6,7,192,nan,nan,nan
70,nan,nan,0.9733515991006005,nan,9,nan,18,nan,nan,nan,6,7,192,nan,nan,nan
80,nan,nan,0.9679140492891971,nan,11,nan,20,nan,nan,nan,6,7,192,nan,nan,nan
90,nan,nan,0.9652066761734693,nan,12,nan,21,nan,nan,nan,6,7,192,nan,nan,nan
