num_qubits,fid,fid_base,esp,esp_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
20,nan,nan,0.9464659221362245,nan,19,nan,28,nan,nan,nan,0,1,1.0,nan,nan,nan
22,nan,nan,0.9411785669799108,nan,21,nan,30,nan,nan,nan,0,1,1.0,nan,nan,nan
24,nan,nan,0.9359207492045986,nan,23,nan,32,nan,nan,nan,0,1,1.0,nan,nan,nan
26,nan,nan,0.9306923038021067,nan,25,nan,34,nan,nan,nan,0,1,1.0,nan,nan,nan
28,nan,nan,0.9254930666860534,nan,27,nan,36,nan,nan,nan,0,1,1.0,nan,nan,nan
30,nan,nan,0.9203228746867131,nan,29,nan,38,nan,nan,nan,0,1,1.0,nan,nan,nan
40,nan,nan,0.8949019440234086,nan,39,nan,48,nan,nan,nan,0,1,1.0,nan,nan,nan
50,nan,nan,0.8701831840151681,nan,49,nan,58,nan,nan,nan,0,1,1.0,nan,nan,nan
60,nan,nan,0.8461471994779447,nan,59,nan,68,nan,nan,nan,0,1,1.0,nan,nan,nan
70,nan,nan,0.8227751309566659,nan,69,nan,78,nan,nan,nan,0,1,1.0,nan,nan,nan
80,nan,nan,0.8000486399274607,nan,79,nan,88,nan,nan,nan,0,1,1.0,nan,nan,nan
20,nan,nan,0.9464659221362246,nan,19,nan,28,nan,nan,nan,0,1,1.0,nan,nan,nan
22,nan,nan,0.9411785669799102,nan,21,nan,30,nan,nan,nan,0,1,1.0,nan,nan,nan
24,nan,nan,0.9359207492045977,nan,23,nan,32,nan,nan,nan,0,1,1.0,nan,nan,nan
26,nan,nan,0.9306923038021054,nan,25,nan,34,nan,nan,nan,0,1,1.0,nan,nan,nan
28,nan,nan,0.9254930666860527,nan,27,nan,36,nan,nan,nan,0,1,1.0,nan,nan,nan
30,nan,nan,0.9203228746867134,nan,29,nan,38,nan,nan,nan,0,1,1.0,nan,nan,nan
40,nan,nan,0.8949019440234085,nan,39,nan,48,nan,nan,nan,0,1,1.0,nan,nan,nan
50,nan,nan,0.8701831840151674,nan,49,nan,58,nan,nan,nan,0,1,1.0,nan,nan,nan
60,nan,nan,0.8461471994779448,nan,59,nan,68,nan,nan,nan,0,1,1.0,nan,nan,nan
70,nan,nan,0.8227751309566654,nan,69,nan,78,nan,nan,nan,0,1,1.0,nan,nan,nan
80,nan,nan,0.8000486399274607,nan,79,nan,88,nan,nan,nan,0,1,1.0,nan,nan,nan
90,nan,nan,0.7779498944086225,nan,89,nan,98,nan,nan,nan,0,1,1.0,nan,nan,nan
100,nan,nan,0.7564615549690327,nan,99,nan,108,nan,nan,nan,0,1,1.0,nan,nan,nan
150,nan,nan,0.6576018643635309,nan,149,nan,158,nan,nan,nan,0,1,1.0,nan,nan,nan
200,nan,nan,0.5716618500620193,nan,199,nan,208,nan,nan,nan,0,1,1.0,nan,nan,nan
250,nan,nan,0.4969530783381044,nan,249,nan,258,nan,nan,nan,0,1,1.0,nan,nan,nan
300,nan,nan,0.4320077718023768,nan,299,nan,308,nan,nan,nan,0,1,1.0,nan,nan,nan
350,nan,nan,0.37554997248790395,nan,349,nan,358,nan,nan,nan,0,1,1.0,nan,nan,nan
400,nan,nan,0.001478839049960032,nan,5756,nan,5488,nan,nan,nan,0,1,1.0,nan,nan,nan
450,nan,nan,0.0002856325863188888,nan,7314,nan,6983,nan,nan,nan,0,1,1.0,nan,nan,nan
20,nan,nan,0.9464659221362245,nan,19,nan,28,nan,nan,nan,0,1,1.0,nan,nan,nan
22,nan,nan,0.9411785669799106,nan,21,nan,30,nan,nan,nan,0,1,1.0,nan,nan,nan
24,nan,nan,0.9359207492045986,nan,23,nan,32,nan,nan,nan,0,1,1.0,nan,nan,nan
26,nan,nan,0.9306923038021068,nan,25,nan,34,nan,nan,nan,0,1,1.0,nan,nan,nan
28,nan,nan,0.9254930666860529,nan,27,nan,36,nan,nan,nan,0,1,1.0,nan,nan,nan
30,nan,nan,0.9203228746867124,nan,29,nan,38,nan,nan,nan,0,1,1.0,nan,nan,nan
40,nan,nan,0.8949019440234098,nan,39,nan,48,nan,nan,nan,0,1,1.0,nan,nan,nan
50,nan,nan,0.8701831840151671,nan,49,nan,58,nan,nan,nan,0,1,1.0,nan,nan,nan
60,nan,nan,0.8461471994779444,nan,59,nan,68,nan,nan,nan,0,1,1.0,nan,nan,nan
70,nan,nan,0.822775130956666,nan,69,nan,78,nan,nan,nan,0,1,1.0,nan,nan,nan
80,nan,nan,0.8000486399274602,nan,79,nan,88,nan,nan,nan,0,1,1.0,nan,nan,nan
90,nan,nan,0.7779498944086218,nan,89,nan,98,nan,nan,nan,0,1,1.0,nan,nan,nan
100,nan,nan,0.7564615549690321,nan,99,nan,108,nan,nan,nan,0,1,1.0,nan,nan,nan
150,nan,nan,0.6576018643635299,nan,149,nan,158,nan,nan,nan,0,1,1.0,nan,nan,nan
200,nan,nan,0.5716618500620216,nan,199,nan,208,nan,nan,nan,0,1,1.0,nan,nan,nan
250,nan,nan,0.49695307833810465,nan,249,nan,258,nan,nan,nan,0,1,1.0,nan,nan,nan
300,nan,nan,0.432007771802378,nan,299,nan,308,nan,nan,nan,0,1,1.0,nan,nan,nan
350,nan,nan,0.3755499724879048,nan,349,nan,358,nan,nan,nan,0,1,1.0,nan,nan,nan
400,nan,nan,0.0009323242141563333,nan,6220,nan,5868,nan,nan,nan,0,1,1.0,nan,nan,nan
