num_qubits,gate_overhead,wire_overhead,optimal_overhead,gate_cut_time,wire_cut_time,optimal_cut_time,gate_num_fragments,wire_num_fragments,optimal_num_fragments
6,216,16,16,0.016737063000618946,0.06166226099594496,0.01236631500069052,2,2,2
8,46656,256,96,0.032966466002108064,0.04361675400286913,0.03473901499819476,2,3,2
10,46656,16384,46656,0.0398534020059742,0.1994599429963273,0.9268963409995195,2,4,2
6,216,16,16,0.015878639998845756,0.02850210599717684,0.01252207400102634,2,2,2
8,216,16,16,0.019878273997164797,0.015040733997011557,0.01777238900103839,2,2,2
10,216,256,216,0.024247014000138734,0.03940939900348894,0.04159654099930776,2,3,2
6,1679616,4096,1536,0.032767494005383924,0.07112548399891239,0.084169590001693,2,3,2
8,470184984576,4194304,161243136,0.36190134500793647,1.1191386790014803,9.057460242009256,2,4,2
