num_qubits,gate_overhead,wire_overhead,optimal_overhead,gate_cut_time,wire_cut_time,optimal_cut_time,gate_num_fragments,wire_num_fragments,optimal_num_fragments
6,216,64,64,0.022411655983887613,0.0373846689471975,0.02825514494907111,2,2,2
8,216,256,96,0.030133511987514794,0.03006540099158883,0.04494998906739056,2,2,2
10,216,16384,216,0.03956895601004362,0.2910387209849432,0.2628250999841839,2,3,2
6,216,64,64,0.023550154990516603,0.03661639499478042,0.02855234802700579,2,2,2
8,216,256,96,0.03056798200123012,0.029881161055527627,0.045769626973196864,2,2,2
10,216,16384,216,0.040438725030981004,0.2932559630135074,0.2613457719562575,2,3,2
6,216,64,64,0.022943126037716866,0.03692527301609516,0.027959772036410868,2,2,2
8,216,256,96,0.030377959948964417,0.029709932976402342,0.04565482900943607,2,2,2
10,216,16384,216,0.040265139075927436,0.29537003790028393,0.2632195770274848,2,3,2
6,216,64,64,0.022904323996044695,0.036977653042413294,0.028436059947125614,2,2,2
8,216,256,96,0.030345201026648283,0.029943058034405112,0.045742999063804746,2,2,2
10,216,16384,216,0.040201419964432716,0.30114006297662854,0.26936049794312567,2,3,2
12,46656,262144,13824,0.09242457104846835,0.09868320298846811,7.17218125902582,3,3,3
14,46656,16777216,31104,0.09618794510606676,17.107090799021535,18.269427929073572,3,4,3
12,46656,262144,13824,0.14237057301215827,0.11293489299714565,7.115156910032965,3,3,3
14,46656,16777216,31104,0.09659906197339296,16.86666915693786,18.393107200972736,3,4,3
