num_qubits,base_fidelity,vroute_fidelity,base_num_cx,vroute_num_cx,overhead,cut_time,knit_time,run_time
4,0.06080000000000001,0.029981646775649393,25,12,36,0.014719926053658128,0.008726484142243862,15.947913174051791
4,0.05544999999999999,0.027728265771408512,25,12,36,0.0017765259835869074,0.006613858975470066,15.974639808991924
4,0.05835,0.03343671796921846,25,12,36,0.002042311942204833,0.030860570957884192,15.43360037682578
6,0.10400000000000001,0.06880441058540498,43,20,36,0.001995423110201955,0.022886086022481322,22.322170978877693
6,0.11200000000000003,0.05919025315184088,40,20,36,0.0019977970514446497,0.010966050904244184,24.516794780967757
6,0.1023,0.06068083948015455,43,20,36,0.0023988489992916584,0.026182019850239158,23.00117775402032
8,0.0942500000000001,0.08925744251714403,56,28,36,0.0023008030839264393,0.060862411046400666,34.76147853303701
8,0.09785000000000008,0.0840465300477747,56,28,36,0.0022523801308125257,0.036468256963416934,33.05129851703532
8,0.08819999999999999,0.08344404498895358,56,28,36,0.0024182929191738367,0.04617721005342901,32.34611835679971
10,0.14099999999999935,0.11937652074319172,52,36,36,0.002669340930879116,0.0895978081971407,55.67793348710984
10,0.14254999999999932,0.12841509913573923,52,36,36,0.0029739299789071083,0.06002607708796859,57.849438146920875
10,0.14564999999999942,0.12282637555250732,65,36,36,0.002473596017807722,0.06279648607596755,55.15222390322015
12,0.1986999999999944,0.19830207767801358,48,44,36,0.0032034351024776697,0.20548886386677623,175.54645284987055
12,0.2054999999999943,0.19686632867500398,48,44,36,0.0032810200937092304,0.08962358813732862,173.1707751301583
12,0.19514999999999455,0.19851150627615116,48,44,36,0.0028621430974453688,0.19680749997496605,184.9817401811015
14,0.35369999999997803,0.3071017763814628,92,52,36,0.00374668394215405,0.3596706909593195,756.9496576809324
14,0.35369999999997803,0.3071017763814628,92,52,36,0.00374668394215405,0.3596706909593195,756.9496576809324
4,0.08045,0.01984190068578866,25,12,36,0.0012326620053499937,0.009401104878634214,26.377532239072025
4,0.07855000000000005,0.02324690309690308,25,12,36,0.001378288958221674,0.00812179408967495,26.634942484786734
4,0.06234999999999998,0.022585051958433244,25,12,36,0.0014348661061376333,0.00833651190623641,26.23478143592365
6,0.07699999999999999,0.045449249437077836,44,20,36,0.0014784601517021656,0.010801878059282899,42.11604647198692
6,0.06585000000000002,0.046225737868934455,43,20,36,0.0014646630734205246,0.011118999915197492,42.23002051981166
6,0.06444999999999997,0.04957878384487871,43,20,36,0.0015950610395520926,0.010436424054205418,41.03594049299136
8,0.11754999999999993,0.0986408967527899,56,28,36,0.0017427320126444101,0.014281552052125335,54.163544631097466
8,0.11634999999999994,0.09418919452355967,56,28,36,0.0020003709942102432,0.014043380040675402,54.17290930496529
8,0.10804999999999994,0.08599364768504567,56,28,36,0.002031430834904313,0.014503955142572522,54.498688844032586
10,0.11089999999999957,0.08744370647017247,52,36,36,0.0023264309857040644,0.029238560004159808,30.78829634701833
10,0.11034999999999948,0.09167048806446687,52,36,36,0.0022191780153661966,0.027653136989101768,40.72075968212448
10,0.11774999999999969,0.0932402895390702,52,36,36,0.0021879179403185844,0.02839351398870349,40.62190964492038
12,0.1441999999999974,0.14080920189025836,48,44,36,0.0023370019625872374,0.050579122034832835,75.11739951185882
12,0.1442499999999976,0.1423697094125074,48,44,36,0.002354174852371216,0.052266730926930904,75.57474623085
12,0.14669999999999733,0.1397690458638293,48,44,36,0.0024015039671212435,0.049459826899692416,75.63952324609272
4,0.08429999999999999,0.02246688370229392,25,12,36,0.0013150309678167105,0.008547233184799552,26.942247577011585
4,0.07505000000000002,0.027117129861041707,25,12,36,0.0016477531753480434,0.008759716991335154,26.99329538596794
4,0.08120000000000002,0.0203595459545955,25,12,36,0.0016750451177358627,0.007929838029667735,26.552229453111067
6,0.0687,0.04255672798160552,43,20,36,0.0017966260202229023,0.010709583992138505,40.61416904209182
6,0.06350000000000004,0.04247075891740456,43,20,36,0.0015233771409839392,0.010674797929823399,41.639036185108125
6,0.06535,0.04930412991178828,43,20,36,0.0015007040929049253,0.010520505020394921,42.151937747141346
8,0.11109999999999999,0.08540924407559236,56,28,36,0.0017081480473279953,0.01479828986339271,54.977222801884636
8,0.12054999999999992,0.096536237159669,56,28,36,0.0021293091122061014,0.016843548975884914,52.08887827396393
8,0.11609999999999997,0.08837137530654128,56,28,36,0.0020529539324343204,0.01575772394426167,55.90824442682788
10,0.11639999999999963,0.08502792537010762,52,36,36,0.002313349163159728,0.028210562886670232,34.42445597983897
10,0.11359999999999953,0.09701988530139943,52,36,36,0.0021918381098657846,0.027740159071981907,47.46658661705442
10,0.12424999999999954,0.09035718805365699,63,36,36,0.002292820019647479,0.027366668917238712,40.38860271405429
12,0.1484999999999975,0.1427611807127422,48,44,36,0.0023961469996720552,0.049143488984555006,74.62970879790373
12,0.13904999999999762,0.14370431514769222,48,44,36,0.0023273960687220097,0.05096784792840481,75.43078672606498
12,0.14189999999999742,0.1388272115283468,48,44,36,0.0022994631435722113,0.05105487280525267,75.377723071957
