num_qubits,gate_overhead,wire_overhead,optimal_overhead,gate_cut_time,wire_cut_time,optimal_cut_time,gate_num_fragments,wire_num_fragments,optimal_num_fragments
15,16,36,36,0.019995781127363443,0.028128135949373245,0.012962363893166184,2,2,2
15,16,36,36,0.018605428049340844,0.01159196998924017,0.013010977068915963,2,2,2
15,16,36,36,0.018699086969718337,0.011249078204855323,0.013001919956877828,2,2,2
25,1,216,216,55.3039528131485,0.03794067492708564,0.04045041278004646,1,3,3
25,1,216,216,60.5290662329644,0.037898584036156535,0.04048122209496796,1,3,3
25,1,216,216,60.81128893815912,0.037777825025841594,0.040767065016552806,1,3,3
15,16,36,36,0.7869460289366543,0.02759355097077787,0.013975308975204825,2,2,2
15,16,36,36,0.060926999198272824,0.011455541010946035,0.01303358911536634,2,2,2
15,16,36,36,0.06003147712908685,0.011409732978790998,0.013071090914309025,2,2,2
25,1,216,216,54.859997713938355,0.03771761106327176,0.04087325814180076,1,3,3
25,1,216,216,60.364135872107,0.03864847891964018,0.04101066919974983,1,3,3
25,1,216,216,61.25854535307735,0.0383763019926846,0.040893316036090255,1,3,3
25,64,216,216,0.024472134886309505,0.05396998696960509,0.03762253187596798,3,3,3
25,64,216,216,0.023738289950415492,0.037390931975096464,0.03748513991013169,3,3,3
25,64,216,216,0.023829804034903646,0.0374506451189518,0.038001342909410596,3,3,3
35,256,1296,1296,0.050614716950803995,0.18556154891848564,0.14972259802743793,4,4,4
35,256,1296,1296,0.09591691289097071,0.18563175108283758,0.14947818289510906,4,4,4
35,256,1296,1296,0.0509109110571444,0.18451399612240493,0.14855118095874786,4,4,4
25,64,216,216,0.024281921098008752,0.05178074003197253,0.04198336019180715,3,3,3
25,64,216,216,0.023845901945605874,0.03729221993125975,0.041979423025622964,3,3,3
25,64,216,216,0.02396071096882224,0.03732449188828468,0.042119668796658516,3,3,3
35,256,1296,1296,0.05031825788319111,0.1833224520087242,0.25311554106883705,4,4,4
35,256,1296,1296,0.09565987391397357,0.1836694811936468,0.2569560739211738,4,4,4
35,256,1296,1296,0.05053986981511116,0.18367276806384325,0.24972849991172552,4,4,4
25,64,216,216,0.024420632980763912,0.05196558590978384,0.03749396000057459,3,3,3
25,64,216,216,0.024120581801980734,0.038259414955973625,0.03746746899560094,3,3,3
25,64,216,216,0.024001945974305272,0.03753074002452195,0.037870296044275165,3,3,3
35,256,1296,1296,0.05215595802292228,0.18398445309139788,0.19322128500789404,4,4,4
35,256,1296,1296,0.10296278004534543,0.18409379990771413,0.2048006420955062,4,4,4
35,256,1296,1296,0.050969180883839726,0.18484082096256316,0.19395598210394382,4,4,4
25,64,216,660451885056,0.024438373977318406,0.05229039792902768,160.47949742898345,3,3,17
25,16,36,660451885056,0.024070875952020288,0.0405372460372746,109.08208757499233,3,3,18
25,16,36,660451885056,0.01952669699676335,0.024882517056539655,108.25335286115296,3,3,18
25,16,36,660451885056,0.020111738005653024,0.024353902088478208,113.21902215410955,3,3,18
