num_qubits,wire_overhead,gate_overhead,gate_qr_overhead
12,1048576,6140942214464815497216,6
12,1048576,6140942214464815497216,6
12,1048576,6140942214464815497216,6
12,1048576,6140942214464815497216,6
12,1048576,2176782336,6
12,6140942214464815497216,6
12,46656,6
12,1048576,46656,6
