num_qubits,num_fragments,num_vgates,num_threads,time
70,2,2,1,1.3536067998502403
70,2,2,2,0.6927230670116842
70,2,2,4,0.37710263882763684
70,2,2,8,0.23550272616557777
70,2,2,16,0.19902578997425735
70,2,2,32,0.12413102411665022
70,2,2,64,0.08834565198048949
70,3,4,1,49.72166344593279
70,3,4,2,25.168796388199553
70,3,4,4,12.940668280934915
70,3,4,8,7.367450933903456
70,3,4,16,4.0357926320284605
70,3,4,32,2.5599831941071898
70,3,4,64,2.02948470111005
70,4,6,1,3262.3964944679756
70,4,6,2,1638.9500331659801
70,4,6,4,846.2061534740496
70,4,6,8,485.31454725703225
70,4,6,16,272.53526947903447
70,4,6,32,141.37729642097838
70,4,6,64,98.20149718993343
