num_qubits,num_qubits_after,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments
4,27,6,6,14,14,0,1
6,27,10,10,17,17,0,1
8,27,14,14,20,20,0,1
10,27,54,59,82,71,1,1
12,27,76,74,79,87,1,1
14,27,101,99,97,83,1,1
16,27,175,169,145,148,1,1
18,27,213,218,135,142,1,1
20,27,311,337,217,226,1,1
22,27,376,373,241,216,1,1
24,27,434,466,259,281,1,1
4,27,6,6,14,14,0,1
6,27,10,10,17,17,0,1
8,27,14,14,20,20,0,1
10,27,53,64,77,75,2,1
12,27,76,74,79,88,2,1
14,27,88,104,99,88,2,1
16,27,171,179,123,146,2,1
18,27,213,223,138,144,2,1
20,27,319,311,231,202,2,1
22,27,375,380,279,252,2,1
24,27,446,449,270,248,2,1
4,27,6,6,14,14,0,1
6,27,10,10,17,17,0,1
8,27,14,14,20,20,0,1
10,27,43,64,51,75,3,1
12,27,63,76,83,89,3,1
14,27,87,97,97,101,3,1
16,27,174,171,139,130,3,1
18,27,202,214,129,150,3,1
20,27,332,351,212,199,3,1
22,27,357,402,243,225,3,1
24,27,463,433,211,245,3,1
