num_qubits,num_qubits_after,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments
4,27,3,7,13,23,1,1
6,27,5,13,15,24,1,1
8,27,7,20,17,31,1,1
10,27,9,16,19,27,1,1
12,27,12,12,23,23,0,1
14,27,13,24,19,35,1,1
16,27,15,32,19,49,1,1
18,27,17,44,21,62,1,1
20,27,20,20,31,31,0,1
22,27,44,58,82,95,0,1
24,27,43,36,61,68,1,1
4,27,7,7,23,23,0,1
6,27,5,16,15,27,1,1
8,27,7,20,18,31,1,1
10,27,20,26,39,45,0,1
12,27,12,12,23,23,0,1
14,27,12,30,18,45,2,2
16,27,13,38,24,52,2,2
18,27,11,30,20,41,2,2
20,27,20,20,31,31,0,1
22,27,32,36,55,56,1,1
24,27,14,32,25,75,2,2
4,27,7,7,23,23,0,1
6,27,5,13,15,26,1,1
8,27,7,21,17,42,1,1
10,27,4,26,15,44,3,3
12,27,12,12,23,23,0,1
14,27,13,26,24,31,1,1
16,27,28,32,39,42,0,1
18,27,17,28,28,42,1,1
20,27,20,20,31,31,0,1
22,27,14,42,25,64,2,2
24,27,12,59,21,85,3,3
