num_qubits,num_qubits_after,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments
4,27,27,29,63,68,0,1
6,27,37,50,73,82,1,1
8,27,47,60,63,81,1,1
10,27,48,48,69,69,0,1
12,27,36,36,57,57,0,1
14,27,56,96,89,117,1,1
16,27,80,89,87,115,1,1
18,27,92,72,119,93,0,1
20,27,60,60,81,81,0,1
22,27,84,84,130,124,0,1
24,27,110,108,166,179,0,1
4,27,27,27,63,63,0,1
6,27,26,52,41,87,2,1
8,27,34,60,45,81,2,1
10,27,48,48,69,69,0,1
12,27,36,36,57,57,0,1
14,27,61,63,65,95,2,1
16,27,62,87,68,134,2,1
18,27,90,108,122,129,0,1
20,27,60,60,81,81,0,1
22,27,84,104,132,156,0,1
24,27,110,185,167,226,0,1
4,27,27,27,63,63,0,1
6,27,15,50,30,82,3,1
8,27,21,60,31,81,3,1
10,27,48,48,69,69,0,1
12,27,36,36,57,57,0,1
14,27,39,63,36,96,3,1
16,27,65,87,84,132,3,1
18,27,51,72,40,93,3,1
20,27,60,60,81,81,0,1
22,27,79,84,71,129,3,1
24,27,108,108,181,189,0,1
