num_qubits,num_qubits_after,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments
4,27,6,6,14,14,0,1
6,27,10,10,17,17,0,1
8,27,35,42,66,60,1,1
10,27,71,86,86,95,1,1
12,27,105,107,96,102,1,1
14,27,166,185,142,158,1,1
16,27,210,215,145,152,1,1
18,27,332,346,253,232,1,1
20,27,446,433,237,263,1,1
22,27,525,553,251,345,1,1
24,27,740,699,459,379,1,1
4,27,6,6,14,14,0,1
6,27,10,10,17,17,0,1
8,27,30,38,41,57,2,1
10,27,70,82,77,82,2,1
12,27,106,107,87,108,2,1
14,27,163,165,131,136,2,1
16,27,189,202,153,193,2,1
18,27,345,335,233,234,2,1
20,27,454,446,263,310,2,1
22,27,524,553,316,354,2,1
24,27,696,691,383,344,2,1
4,27,6,6,14,14,0,1
6,27,10,10,17,17,0,1
8,27,25,37,42,59,2,1
10,27,71,81,84,87,3,1
12,27,99,117,100,121,3,1
14,27,171,180,134,157,3,1
16,27,197,218,150,181,3,1
18,27,337,352,207,235,3,1
20,27,441,462,310,291,3,1
22,27,503,540,378,317,3,1
24,27,670,706,385,389,3,1
