num_qubits,num_qubits_after,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments
4,27,17,17,43,43,0,1
6,27,20,31,38,58,1,1
8,27,27,40,40,56,1,1
10,27,32,32,48,48,0,1
12,27,24,24,40,40,0,1
14,27,51,41,63,58,1,1
16,27,58,56,55,72,1,1
18,27,70,86,108,122,0,1
20,27,40,40,56,56,0,1
22,27,91,78,119,131,0,1
24,27,110,102,170,150,0,1
4,27,17,17,43,43,0,1
6,27,10,28,23,66,2,1
8,27,14,40,23,56,2,1
10,27,35,32,48,48,0,1
12,27,24,24,40,40,0,1
14,27,26,50,31,87,2,1
16,27,30,67,31,92,2,1
18,27,59,59,85,83,0,1
20,27,40,40,56,56,0,1
22,27,76,80,132,122,0,1
24,27,92,70,144,117,0,1
4,27,17,17,47,43,0,1
6,27,10,31,23,57,2,1
8,27,13,40,23,56,3,1
10,27,18,32,25,48,2,1
12,27,24,24,40,40,0,1
14,27,26,52,29,74,2,1
16,27,30,59,33,69,2,1
18,27,59,71,84,99,0,1
20,27,40,40,56,56,0,1
22,27,63,65,56,106,2,1
24,27,119,68,158,125,0,1
