num_qubits,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments
4,0,6,8,17,3,4
4,0,6,8,17,3,4
4,0,6,8,17,3,4
6,7,25,22,37,4,2
6,9,26,20,47,4,2
6,11,26,17,52,4,1
8,35,51,48,84,4,1
8,30,49,37,59,4,1
8,35,52,46,57,4,1
10,49,71,77,99,4,1
10,52,75,66,89,4,1
10,50,77,54,66,4,1
12,71,88,77,99,4,1
12,83,118,81,96,4,1
12,92,122,78,92,4,1
14,110,127,81,108,4,1
14,122,150,102,147,4,1
14,132,146,108,117,4,1
16,158,202,117,142,4,1
16,137,172,111,124,4,1
16,162,174,148,121,4,1
18,189,214,150,167,4,1
18,196,251,141,147,4,1
18,179,210,137,162,4,1
20,246,259,154,166,4,1
20,228,284,146,153,4,1
20,236,254,157,179,4,1
22,279,312,173,173,4,1
22,257,281,179,190,4,1
22,261,310,163,177,4,1
24,302,347,174,178,4,1
24,328,364,163,189,4,1
24,312,361,194,208,4,1
