num_qubits,fid,fid_base,esp,esp_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_cuts_base
8,nan,nan,0.9812694873656722,0.9706277051879092,12,24,25,45,12,50,2,2
10,nan,nan,0.9755921177914296,0.9613503380726788,16,32,31,57,20,82,2,2
12,nan,nan,0.9699475959982472,0.9521616450599192,20,40,37,69,30,122,2,2
14,nan,nan,0.9643357319374233,0.94561146258772,24,46,43,78,42,156,2,2
