num_qubits,fid,fid_base,esp,esp_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_cuts_base
8,nan,nan,0.9898482184090391,0.9886614988531343,3,6,16,21,9,27,1,1
10,nan,nan,0.9877707248692572,0.9860933014012594,4,8,20,30,14,44,1,1
12,nan,nan,0.9840232455461346,0.982548685925923,5,10,25,38,20,65,1,1
14,nan,nan,0.9822526237805183,0.9792126446783387,6,12,28,41,27,90,1,1
16,nan,nan,0.9794071934166182,0.9792126446783387,7,12,29,41,35,90,1,1
18,nan,nan,0.9765700058140608,0.978429548687308,8,12,32,45,44,90,1,1
20,nan,nan,0.9741306309032909,0.9805850126897522,9,11,34,36,54,77,1,1
22,nan,nan,0.9715030195559539,0.978429548687308,10,12,39,45,65,90,1,1
24,nan,nan,0.9688824959042234,0.978429548687308,11,12,41,45,77,90,1,1
8,nan,nan,0.9898482184090391,0.9886614988531343,3,6,16,21,9,27,1,1
10,nan,nan,0.9877707248692572,0.9860933014012594,4,8,20,30,14,44,1,1
12,nan,nan,0.9849093094399995,0.982548685925923,5,10,23,38,20,65,1,1
14,nan,nan,0.9822526237805183,0.9792126446783387,6,12,28,41,27,90,1,1
16,nan,nan,0.9794071934166182,0.9792126446783387,7,12,29,41,35,90,1,1
