num_qubits,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments
4,47,67,109,143,4,1
4,47,67,109,143,4,1
4,47,67,109,143,4,1
6,62,122,83,203,4,1
6,62,120,83,202,4,1
6,62,122,83,203,4,1
8,84,140,85,211,4,1
8,84,140,85,211,4,1
8,84,140,85,211,4,1
10,110,130,151,211,4,1
10,110,130,151,211,4,1
10,110,130,151,211,4,1
12,112,120,199,211,4,1
12,112,120,199,211,4,1
12,112,120,199,211,4,1
14,142,174,120,313,4,1
14,161,230,219,331,4,1
14,142,181,132,293,4,1
16,176,220,142,331,4,1
16,188,220,145,331,4,1
16,179,220,169,331,4,1
18,178,279,127,391,4,1
18,190,210,124,331,4,1
18,214,213,296,334,4,1
20,192,200,319,331,4,1
20,192,200,319,331,4,1
20,192,200,319,331,4,1
22,262,254,329,434,4,1
22,239,254,304,436,4,1
22,275,254,308,436,4,1
24,275,308,184,538,4,1
24,333,310,492,523,4,1
24,292,308,460,541,4,1
