num_qubits,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments
4,2,6,12,18,2,3
4,2,6,12,18,2,3
4,2,6,12,18,2,3
6,20,25,37,41,2,1
6,18,25,34,47,2,1
6,18,23,34,47,2,1
8,41,49,46,48,2,1
8,43,48,73,73,2,1
8,45,47,53,64,2,1
10,67,76,80,86,2,1
10,68,78,83,73,2,1
10,67,73,68,80,2,1
12,102,106,92,101,2,1
12,84,112,74,116,2,1
12,91,102,99,122,2,1
14,121,131,94,106,2,1
14,133,149,100,108,2,1
14,123,142,118,112,2,1
16,147,172,123,146,2,1
16,175,185,112,111,2,1
16,163,169,114,121,2,1
18,204,196,163,152,2,1
18,203,215,138,124,2,1
18,202,192,127,141,2,1
20,240,256,161,193,2,1
20,234,255,190,183,2,1
20,262,253,137,184,2,1
22,303,324,152,206,2,1
22,322,333,189,169,2,1
22,257,276,148,148,2,1
24,302,316,158,180,2,1
24,297,324,187,194,2,1
24,356,363,161,195,2,1
