num_qubits,h_fid_baseline,tv_fid_baseline,h_fid,tv_fid,num_vgates,run_time,knit_time
8,0.8897655412631982,0.7251000000000003,0.9849694616654625,0.932640111451796,1,50.88603178501944,4.783857204020023
10,0.9664381569817316,0.9046500000000007,0.8773655842899757,0.8053261607475364,1,95.56663721101359,5.307474653003737
12,0.9461073957309646,0.9006000000000012,0.9422041342142407,0.8939500000000015,0,47.94743158799247,0.001070561003871262
4,0.9990210436817872,0.9782000000000001,0.9923525630269785,0.9455439249949188,1,33.20636873401236,4.948464827000862
4,0.9974295225754786,0.9654,0.9888317192572442,0.9082680120148225,1,27.600449916993966,4.867144827992888
4,0.9897787085629736,0.92195,0.9961734656027251,0.9458803494801271,1,34.6177657119988,4.89453119499376
6,0.991334501215148,0.9486000000000001,0.9942029495879353,0.9684098616060346,1,38.23144623899134,4.750689825013978
6,0.9219644455443629,0.8243999999999999,0.9899942230632005,0.9393881716421255,1,36.55666396699962,4.738321407989133
6,0.6022938533258364,0.4189999999999995,0.9664391124047497,0.8571129119885117,1,36.207891370984726,4.681127642019419
8,0.9908861160066692,0.95065,0.8797674900619682,0.7047407344017826,1,78.77977701200871,4.6637367690273095
8,0.8940923191552528,0.7338500000000004,0.9833572813000879,0.9141327777141314,1,56.99890229900484,5.021857165003894
8,0.4118420672982461,0.3223999999999997,0.9099869415160078,0.8078058850801888,1,60.354566920985235,5.111495137010934
10,0.8107364185707189,0.6481500000000024,0.8372390066305692,0.6916409686660552,1,108.11015940498328,4.739138328004628
10,0.9758401554978262,0.9334000000000006,0.5715215057887034,0.4584348959987611,1,129.61095050899894,5.460173792991554
10,0.35966735940916217,0.2911499999999887,0.7268380432452939,0.6134158376451311,1,93.81582853099098,4.924869259994011
12,0.9533911152525659,0.9100000000000011,0.4666838271067673,0.37414999999998977,0,69.81740995898144,0.00042395899072289467
12,0.9485137379946388,0.9007000000000012,0.29756043298092205,0.29739999999998246,0,77.53368175099604,0.00043087999802082777
12,0.950464073462791,0.9049500000000011,0.34436867184527153,0.32219999999998705,0,72.99025029700715,0.00026186599279753864
4,0.9995207923449534,0.9827227785806683,0.9996444843891337,0.9852440889771824,1,63.12471319301403,6.125172669009771
8,0.993110286610866,0.963028362559823,0.9917709526161842,0.9550242356039352,1,135.8148565349984,4.854532490018755
8,0.9922766330629047,0.9575113287280705,0.9930928987357824,0.9600857156123878,1,146.59721662200172,5.389147309004329
8,0.9912836566346167,0.9550068423652321,0.9921141507778055,0.9556929154510102,1,126.76144247801858,5.067611121019581
10,0.9682891217162908,0.9340864891946035,0.978483988373235,0.9396158835023222,1,226.09487558499677,4.939306004991522
