num_qubits,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments
4,2,11,12,28,2,2
4,2,9,12,25,2,2
4,2,11,12,28,2,2
6,13,26,32,41,2,1
6,18,21,30,43,2,1
6,15,21,27,44,2,1
8,29,40,34,49,2,1
8,30,41,52,59,2,1
8,27,40,48,47,2,1
10,47,59,60,64,2,1
10,47,50,60,73,2,1
10,45,61,57,68,2,1
12,65,78,59,70,2,1
12,60,75,66,71,2,1
12,67,81,77,95,2,1
14,83,89,76,70,2,1
14,86,95,75,84,2,1
14,82,86,68,78,2,1
16,98,100,87,91,2,1
16,97,117,72,84,2,1
16,106,110,78,74,2,1
18,127,138,89,97,2,1
18,121,148,90,113,2,1
18,121,155,102,102,2,1
20,155,183,102,113,2,1
20,146,174,119,120,2,1
20,141,158,92,109,2,1
22,188,189,148,149,2,1
22,159,183,103,112,2,1
22,185,207,106,116,2,1
24,192,218,115,152,2,1
24,204,204,109,110,2,1
24,191,223,105,137,2,1
