num_qubits,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments
4,2,6,17,25,2,2
4,2,6,19,25,2,2
4,2,6,19,27,2,2
6,4,10,26,34,2,2
6,4,10,26,34,2,2
6,4,10,26,35,2,2
8,6,14,25,43,2,2
8,6,14,27,43,2,2
8,6,14,25,43,2,2
10,8,18,32,46,2,2
10,8,18,32,46,2,2
10,8,18,32,51,2,2
12,10,22,35,52,2,2
12,10,22,34,52,2,2
12,10,22,35,52,2,2
14,12,26,39,56,2,2
14,24,26,60,56,2,1
14,12,26,39,64,2,2
16,28,30,71,68,2,1
16,14,30,40,68,2,2
16,14,30,40,68,2,2
18,16,34,44,70,2,2
18,16,34,44,70,2,2
18,16,34,44,70,2,2
20,18,38,46,75,2,2
20,18,38,46,75,2,2
20,18,38,46,75,2,2
22,20,48,51,106,2,2
22,20,60,51,134,2,2
22,20,69,54,138,2,2
24,22,55,54,127,2,2
24,22,58,54,134,2,2
24,22,82,54,139,2,2
