num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,31,42,45,61,27,29,2,1,36,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,51,54,60,78,43,46,2,1,36,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,64,85,62,77,65,79,2,1,36,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,87,103,73,108,93,112,2,1,36,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,106,128,86,88,112,134,2,1,36,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,146,154,98,115,167,188,2,1,36,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,139,176,92,158,183,212,2,1,36,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,170,201,92,106,239,274,2,1,36,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,228,255,141,167,280,308,2,1,36,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,211,233,87,119,308,344,2,1,36,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,264,289,121,156,384,426,2,1,36,0.0,0.0,0.0
