num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments,run_time,knit_time
2,0.0,0.0,0.0,0.0,1,1,12,12,0,1,0.0,0.0
4,0.0,0.0,0.0,0.0,5,5,22,23,0,1,0.0,0.0
6,0.0,0.0,0.0,0.0,4,9,22,26,2,2,0.0,0.0
8,0.0,0.0,0.0,0.0,6,13,26,38,2,2,0.0,0.0
10,0.0,0.0,0.0,0.0,8,17,30,42,2,2,0.0,0.0
12,0.0,0.0,0.0,0.0,6,21,27,48,4,3,0.0,0.0
14,0.0,0.0,0.0,0.0,8,28,31,70,4,3,0.0,0.0
