num_qubits,fid,fid_cutqc,fid_base,esp,esp_cutqc,esp_base,num_cnots,num_cnots_cutqc,num_cnots_base,depth,depth_cutqc,depth_base,num_deps,num_deps_cutqc,num_deps_base,num_vgates,num_cuts_cutqc
8,0.9766632527346246,0.9638333027687186,0.9761425908480954,0.9812694873656722,0.9732529490840702,0.9603885552424912,12,22,26,25,42,49,12,42,56,2,2
10,0.9702165831707281,0.951187371015316,0.9567040428001797,0.9755921177914296,0.9732529490840702,0.9493075881554937,16,22,34,31,42,61,20,42,90,2,2
12,0.9729144322403983,0.9588415014021381,0.9193433163042875,0.9699475959982472,0.9732529490840702,0.938354473312167,20,22,42,37,42,73,30,42,132,2,2
