num_qubits,fid,fid_cutqc,fid_base,esp,esp_cutqc,esp_base,num_cnots,num_cnots_cutqc,num_cnots_base,depth,depth_cutqc,depth_base,num_deps,num_deps_cutqc,num_deps_base,num_vgates,num_cuts_cutqc
8,0.9034159476672958,0.90973630410726,0.9063008266543435,0.9900462177521271,0.9892549034267384,0.9914333225601701,3,6,7,12,14,16,9,27,35,1,1
10,0.8683667568165515,0.877907039556722,0.8739358931552481,0.9874744232839305,0.9896507043333879,0.9890557261325623,4,6,9,13,14,18,14,27,54,1,1
12,0.8306695985523754,0.8341678699132591,0.8167585274488938,0.9847123374272045,0.9892549034267383,0.986683831515297,5,6,11,14,14,20,20,27,77,1,1
