num_qubits,fid,fid_cutqc,fid_base,esp,esp_cutqc,esp_base,num_cnots,num_cnots_cutqc,num_cnots_base,depth,depth_cutqc,depth_base,num_deps,num_deps_cutqc,num_deps_base,num_vgates,num_cuts_cutqc
8,0.9909458358020637,0.9789971036545143,0.969599221262745,0.9865856074213885,0.982547800983531,0.9606771620638715,6,12,25,15,14,29,8,17,26,2,2
10,1.000067684828106,0.9892360929830322,0.98110853248831,0.9828421816828559,0.9828426242865208,0.9561710569829074,8,12,26,21,17,21,14,18,35,2,2
12,0.9991460728798592,0.9841938145114093,0.9319478293278491,0.9790150484195747,0.9827443400240924,0.954546865928705,10,12,24,21,20,21,17,21,44,2,2
