num_qubits,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments
4,3,3,16,16,0,1
4,3,3,16,16,0,1
4,3,3,16,16,0,1
6,5,5,22,22,0,1
6,5,5,22,22,0,1
6,5,5,22,22,0,1
8,7,7,28,28,0,1
8,7,7,28,28,0,1
8,7,7,28,28,0,1
10,9,9,34,34,0,1
10,9,9,34,34,0,1
10,9,9,34,34,0,1
12,11,11,40,40,0,1
12,11,11,40,40,0,1
12,11,11,40,40,0,1
14,13,13,52,52,0,1
14,13,13,52,52,0,1
14,13,13,52,52,0,1
16,15,15,48,48,0,1
16,15,15,48,48,0,1
16,15,15,48,48,0,1
18,17,17,56,56,0,1
18,17,17,56,56,0,1
18,17,17,56,56,0,1
20,19,19,59,59,0,1
20,19,19,59,59,0,1
20,19,19,59,59,0,1
22,16,35,64,103,2,3
22,10,36,38,102,2,3
22,8,25,34,94,2,3
24,12,44,43,118,2,3
24,16,54,64,134,2,3
24,12,32,46,105,2,3
26,13,57,47,131,2,3
26,12,36,46,121,2,3
26,20,47,63,133,2,3
