num_qubits,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments
4,4,11,17,31,2,2
4,4,11,17,31,2,2
4,4,11,17,31,2,2
6,8,21,23,40,2,2
6,4,19,17,35,2,2
6,4,19,17,38,2,2
8,10,28,26,44,2,2
8,10,28,26,47,2,2
8,8,28,20,47,2,2
10,12,30,26,54,2,2
10,16,32,32,53,2,2
10,8,32,23,50,2,2
12,24,24,47,47,0,1
12,24,24,47,47,0,1
12,24,24,47,47,0,1
14,16,38,35,70,2,2
14,24,50,38,82,2,2
14,14,38,32,69,2,2
16,20,44,41,71,2,2
16,20,44,35,71,2,2
16,16,56,35,80,2,2
18,26,53,32,96,2,2
18,30,66,38,97,2,2
18,26,58,44,94,2,2
20,40,40,71,71,0,1
20,40,40,71,71,0,1
20,40,40,71,71,0,1
22,20,62,41,113,2,2
22,22,60,41,118,2,2
22,20,56,41,107,2,2
24,30,52,50,113,2,2
24,24,64,47,122,2,2
24,24,77,47,128,2,2
26,30,86,56,140,2,2
26,28,94,41,164,2,2
26,75,102,105,161,2,2
