num_qubits,fid,fid_base,esp,esp_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_cuts_base
8,0.9015712672639336,0.8763434738664465,0.9903432910301275,0.9893538388106196,3,6,16,24,9,27,1,1
10,0.8923342889837171,0.8506427063182673,0.9875731806019907,0.9893538388106196,4,6,20,24,14,27,1,1
8,0.9081891096264423,0.8825750212857857,0.9902442567010248,0.9893538388106196,3,6,14,24,9,27,1,1
10,0.8994001178417014,0.8635199330757752,0.9875731806019907,0.9893538388106196,4,6,20,24,14,27,1,1
12,0.834684540916662,0.9002646591795411,0.9846138661934619,0.988859260816705,5,6,23,25,20,27,1,1
8,0.9063098612947599,0.8647811581950026,0.9902442567010248,0.9893538388106196,3,6,14,24,9,27,1,1
10,0.9058743638815395,0.8461460384782574,0.9875731806019907,0.9893538388106196,4,6,20,24,14,27,1,1
12,0.8209801499560596,0.890407592219219,0.9846138661934619,0.988859260816705,5,6,23,25,20,27,1,1
8,0.904550092744926,0.881758872632054,0.9903432910301275,0.9893538388106196,3,6,16,24,9,27,1,1
10,0.9015222177093649,0.8614589692251191,0.9875731806019907,0.9893538388106196,4,6,20,24,14,27,1,1
12,0.8389913682993048,0.8908851959323488,0.9847123374272048,0.9889581566323684,5,6,22,24,20,27,1,1
8,0.9461634276298241,0.8736364152888367,0.9903432910301275,0.9883649300623346,3,6,16,23,9,27,1,1
10,0.9044975497175077,0.865981366866537,0.9876719477967701,0.9883649300623346,4,6,19,23,14,27,1,1
