num_qubits,num_qubits_after,num_cnots,num_cnots_base,depth,depth_base,num_vgates
4,27,6,6,17,17,0
6,27,13,13,25,22,0
8,27,13,21,26,41,2
10,27,38,56,35,44,4
12,27,60,81,76,94,4
14,27,72,93,64,64,4
16,27,152,163,124,136,4
18,27,194,214,124,162,4
20,27,297,334,205,177,4
22,27,386,423,227,269,4
24,27,464,477,255,264,4
