num_qubits,num_qubits_after,num_cnots,num_cnots_base,depth,depth_base,num_vgates
4,27,6,6,17,17,0
6,27,14,16,30,34,0
8,27,20,20,26,26,0
10,27,26,23,44,38,0
12,27,19,32,23,37,2
14,27,41,39,34,39,0
16,27,51,47,41,40,0
18,27,39,54,40,39,4
20,27,132,163,111,88,4
22,27,154,183,105,121,4
24,27,179,233,109,107,4
