num_qubits,num_qubits_after,num_cnots,num_cnots_base,depth,depth_base,num_vgates
4,27,27,27,63,63,0
6,27,15,51,30,97,3
8,27,21,60,30,81,3
10,27,48,48,69,69,0
12,27,36,36,57,57,0
14,27,39,60,36,110,3
16,27,45,105,38,146,3
18,27,51,111,40,129,3
20,27,60,60,81,81,0
22,27,104,104,143,141,0
24,27,110,145,163,195,0
