num_qubits,num_qubits_after,num_cnots,num_cnots_base,depth,depth_base,num_vgates
4,27,17,17,43,43,0
6,27,31,32,58,58,0
8,27,14,40,23,56,2
10,27,32,32,48,48,0
12,27,24,24,40,40,0
14,27,26,53,31,70,2
16,27,28,60,32,93,4
18,27,34,72,33,88,2
20,27,40,40,56,56,0
22,27,80,67,121,102,0
24,27,92,81,144,127,0
