num_qubits,num_qubits_after,num_cnots,num_cnots_base,depth,depth_base,num_vgates
4,27,3,7,14,23,1
6,27,5,16,15,32,1
8,27,7,20,17,31,1
10,27,9,16,17,27,1
12,27,12,12,23,23,0
14,27,36,24,55,37,0
16,27,15,28,24,59,1
18,27,16,30,22,41,2
20,27,20,20,31,31,0
22,27,39,49,52,72,2
24,27,30,36,55,66,2
