num_qubits,num_qubits_after,num_cnots,num_cnots_base,depth,depth_base,num_vgates
4,27,17,17,43,43,0
6,27,10,31,23,56,2
8,27,14,40,23,56,2
10,27,32,45,48,61,0
12,27,24,24,40,40,0
14,27,58,51,84,79,0
16,27,49,67,61,93,2
18,27,70,59,102,84,0
20,27,40,40,56,56,0
22,27,57,65,79,113,2
24,27,67,70,66,117,2
