num_qubits,num_qubits_after,num_cnots,num_cnots_base,depth,depth_base,num_vgates
4,27,7,7,23,23,0
6,27,4,15,14,28,2
8,27,6,20,15,30,2
10,27,9,20,19,34,1
12,27,12,12,23,23,0
14,27,13,30,19,49,1
16,27,15,32,24,50,1
18,27,16,28,19,45,2
20,27,20,20,31,31,0
22,27,33,44,40,82,2
24,27,49,50,83,78,0
