num_qubits,num_qubits_after,num_cnots,num_cnots_base,depth,depth_base,num_vgates
4,27,6,6,17,17,0
6,27,20,23,34,36,1
8,27,43,56,56,77,2
10,27,88,96,79,88,2
12,27,129,142,101,106,2
14,27,177,208,144,180,2
16,27,291,300,195,259,2
18,27,410,374,283,291,2
20,27,516,507,295,305,2
22,27,626,625,336,372,2
24,27,750,771,399,477,2
