num_qubits,num_qubits_after,num_cnots,num_cnots_base,depth,depth_base,num_vgates
4,27,6,6,17,17,0
6,27,16,14,31,27,0
8,27,18,20,31,31,0
10,27,51,59,67,71,2
12,27,58,67,63,62,2
14,27,88,113,94,113,2
16,27,159,150,106,125,2
18,27,205,210,144,123,2
20,27,362,337,200,218,2
22,27,395,391,236,259,2
24,27,461,489,298,263,2
