num_qubits,num_qubits_after,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments
4,27,7,7,23,23,0,1
6,27,5,16,16,30,1,1
8,27,20,20,28,31,0,1
10,27,16,22,27,30,0,1
12,27,12,12,23,23,0,1
14,27,34,36,55,54,0,1
16,27,36,30,61,53,0,1
18,27,29,42,58,70,0,1
20,27,20,20,31,31,0,1
22,27,39,30,43,60,1,1
24,27,49,59,70,81,1,1
4,27,7,7,23,23,0,1
6,27,15,13,28,27,0,1
8,27,7,20,16,28,1,1
10,27,9,22,20,33,1,1
12,27,12,12,23,23,0,1
14,27,13,28,23,52,1,1
16,27,15,26,21,40,1,1
18,27,17,28,25,46,1,1
20,27,20,20,31,31,0,1
22,27,26,34,48,65,1,1
24,27,16,48,22,67,2,2
4,27,7,7,23,23,0,1
6,27,14,15,36,31,0,1
8,27,20,20,28,28,0,1
10,27,9,22,18,33,1,1
12,27,12,12,23,23,0,1
14,27,24,22,41,45,0,1
16,27,15,32,23,44,1,1
18,27,16,30,23,41,2,2
20,27,20,20,31,31,0,1
22,27,17,30,22,54,3,3
24,27,14,30,22,59,2,2
