num_qubits,num_qubits_after,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments
4,27,6,6,14,14,0,1
4,27,6,6,14,14,0,1
4,27,6,6,14,14,0,1
6,27,10,10,17,17,0,1
6,27,10,10,17,17,0,1
6,27,10,10,17,17,0,1
8,27,14,14,20,20,0,1
8,27,14,14,20,20,0,1
8,27,14,14,20,20,0,1
10,27,47,62,60,66,3,1
10,27,48,54,63,80,2,2
10,27,47,55,71,70,1,1
12,27,60,76,62,93,3,1
12,27,71,78,80,79,3,1
12,27,60,76,75,84,3,2
14,27,87,96,80,93,3,2
14,27,75,97,79,82,3,1
14,27,85,103,84,103,3,1
16,27,164,177,129,143,3,1
16,27,164,174,126,163,3,1
16,27,169,193,130,141,3,1
18,27,206,212,133,127,3,1
18,27,201,196,144,139,3,1
18,27,200,208,130,157,3,1
20,27,318,342,220,208,3,1
20,27,311,337,217,212,3,1
20,27,272,341,179,189,3,1
22,27,352,400,246,220,3,1
22,27,363,377,206,247,3,1
22,27,345,380,187,251,3,1
24,27,416,444,210,267,3,1
24,27,395,441,219,230,3,1
24,27,419,426,242,250,3,1
