num_qubits,num_qubits_after,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments
4,27,17,17,43,43,0,1
6,27,20,31,38,58,1,1
8,27,27,40,39,56,1,1
10,27,32,32,48,48,0,1
12,27,24,24,40,40,0,1
14,27,51,52,78,74,0,1
16,27,46,56,46,72,1,1
18,27,65,62,66,85,1,1
20,27,40,40,56,56,0,1
22,27,64,65,89,113,1,1
24,27,121,111,161,166,0,1
4,27,17,17,43,43,0,1
6,27,10,31,23,58,2,1
8,27,14,40,23,56,2,1
10,27,32,32,48,48,0,1
12,27,24,24,40,40,0,1
14,27,51,40,77,61,0,1
16,27,56,55,80,83,0,1
18,27,59,61,84,75,0,1
20,27,40,40,56,56,0,1
22,27,65,65,111,114,0,1
24,27,61,70,79,120,2,1
4,27,17,17,43,43,0,1
6,27,31,33,58,59,0,1
8,27,40,40,56,56,0,1
10,27,32,32,48,48,0,1
12,27,24,24,40,40,0,1
14,27,50,64,87,80,0,1
16,27,67,56,91,72,0,1
18,27,61,59,73,84,0,1
20,27,40,40,56,56,0,1
22,27,67,80,92,102,0,1
24,27,83,70,130,116,0,1
