num_qubits,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments
4,0,6,8,17,3,4
4,0,6,8,14,3,4
4,0,6,8,14,3,4
6,4,13,14,23,3,4
6,2,10,11,17,3,4
6,2,10,11,17,3,4
8,4,18,14,33,3,4
8,4,20,14,26,3,4
8,8,20,17,34,3,4
10,12,26,20,37,3,4
10,15,30,28,40,3,4
10,8,25,20,39,3,4
12,20,32,29,47,3,4
12,13,33,28,48,3,4
12,11,30,30,42,3,4
14,35,51,46,68,3,4
14,28,39,42,55,3,4
14,35,44,49,47,3,4
16,25,50,26,57,3,4
16,36,48,32,40,3,4
16,36,55,49,55,3,4
18,30,59,38,66,3,4
18,37,62,37,63,3,4
18,44,57,47,51,3,4
20,51,73,40,48,3,4
20,57,71,71,99,3,4
20,34,72,40,71,3,4
22,43,69,60,90,3,4
22,60,78,59,48,3,4
22,67,84,46,63,3,4
24,74,79,43,53,3,4
24,63,91,53,69,3,4
24,60,81,72,93,3,4
26,67,88,51,58,3,4
26,68,95,51,54,3,4
26,76,93,73,69,3,4
