num_qubits,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments
4,0,6,8,17,3,4
4,0,6,8,17,3,4
4,0,6,8,17,3,4
6,15,28,26,53,3,1
6,15,30,26,50,3,1
6,18,26,29,42,3,1
8,38,55,50,63,3,1
8,38,50,57,63,3,1
8,37,51,46,52,3,1
10,64,83,77,82,3,1
10,64,74,61,71,3,1
10,68,78,77,94,3,1
12,89,112,93,101,3,1
12,102,119,103,111,3,1
12,105,123,104,111,3,1
14,141,150,114,124,3,1
14,122,147,118,147,3,1
14,120,150,117,107,3,1
16,158,178,118,131,3,1
16,154,180,133,116,3,1
16,160,170,136,125,3,1
18,216,237,129,145,3,1
18,223,224,156,192,3,1
18,213,232,161,155,3,1
20,247,266,157,165,3,1
20,242,264,166,184,3,1
20,241,241,174,147,3,1
22,269,310,175,159,3,1
22,280,302,151,158,3,1
22,276,301,155,212,3,1
24,298,356,182,189,3,1
24,312,335,183,217,3,1
24,307,342,178,178,3,1
26,340,352,198,167,3,1
26,383,388,221,220,3,1
26,370,401,213,245,3,1
