num_qubits,num_qubits_after,num_cnots,num_cnots_base,depth,depth_base,num_vgates
4,27,17,17,43,43,0
6,27,9,28,22,59,3
8,27,14,40,24,56,2
10,27,32,32,48,48,0
12,27,24,24,40,40,0
14,27,51,50,77,86,0
16,27,30,54,31,91,2
18,27,34,59,33,84,2
20,27,40,40,56,56,0
22,27,56,54,79,88,0
24,27,64,79,80,143,2
