num_qubits,num_qubits_after,num_cnots,num_cnots_base,depth,depth_base,num_vgates
4,27,6,6,17,17,0
6,27,11,11,23,23,0
8,27,11,23,23,40,3
10,27,21,24,29,29,0
12,27,18,32,20,46,2
14,27,26,45,30,53,3
16,27,38,50,31,59,1
18,27,43,63,53,88,3
20,27,150,169,114,126,3
22,27,170,200,134,124,3
24,27,197,186,113,120,3
