num_qubits,num_qubits_after,num_cnots,num_cnots_base,depth,depth_base,num_vgates
4,27,6,6,14,14,0
6,27,18,28,29,43,2
8,27,40,51,53,71,3
10,27,79,95,89,93,3
12,27,125,124,103,109,3
14,27,206,196,185,162,3
16,27,275,286,209,214,3
18,27,363,395,244,254,3
20,27,503,527,311,324,3
22,27,569,592,373,346,3
24,27,703,755,355,484,3
