num_qubits,num_qubits_after,num_cnots,num_cnots_base,depth,depth_base,num_vgates
4,27,6,6,17,17,0
6,27,11,11,20,26,0
8,27,8,17,17,39,3
10,27,38,56,50,64,3
12,27,63,79,67,79,3
14,27,87,99,69,81,3
16,27,146,180,115,144,3
18,27,219,228,163,167,3
20,27,298,314,197,212,3
22,27,354,375,212,234,3
24,27,448,444,230,283,3
