num_qubits,num_qubits_after,num_cnots,num_cnots_base,depth,depth_base,num_vgates
4,27,7,7,23,23,0
6,27,5,15,15,28,1
8,27,6,20,15,31,2
10,27,16,20,27,37,0
12,27,12,12,23,23,0
14,27,11,30,20,44,3
16,27,15,28,22,33,1
18,27,15,40,19,60,3
20,27,20,20,31,31,0
22,27,48,52,72,80,0
24,27,46,42,85,74,0
