num_qubits,num_qubits_after,num_cnots,num_cnots_base,depth,depth_base,num_vgates
4,27,6,6,17,17,0
6,27,16,16,28,31,0
8,27,16,19,30,35,1
10,27,55,61,73,86,1
12,27,72,82,79,73,1
14,27,83,94,65,92,1
16,27,169,180,118,125,1
18,27,197,209,124,135,1
20,27,333,354,229,233,1
22,27,350,379,274,226,1
24,27,460,443,249,244,1
