num_qubits,num_qubits_after,num_cnots,num_cnots_base,depth,depth_base,num_vgates
4,27,17,17,43,43,0
6,27,28,33,61,59,1
8,27,30,40,42,56,1
10,27,32,43,48,73,0
12,27,24,24,40,40,0
14,27,50,40,89,72,0
16,27,52,55,67,81,1
18,27,53,72,70,88,1
20,27,40,40,56,56,0
22,27,66,89,93,137,1
24,27,94,107,142,133,0
