num_qubits,num_qubits_after,num_cnots,num_cnots_base,depth,depth_base,num_vgates
4,27,7,7,23,23,0
6,27,5,15,15,28,1
8,27,7,20,17,31,1
10,27,16,20,27,37,0
12,27,12,12,23,23,0
14,27,13,36,24,50,1
16,27,15,36,26,57,1
18,27,34,31,48,45,0
20,27,20,20,31,31,0
22,27,29,45,53,68,1
24,27,52,40,72,80,1
