num_qubits,num_qubits_after,num_cnots,num_cnots_base,depth,depth_base,num_vgates
4,27,6,6,17,17,0
6,27,16,13,25,20,0
8,27,16,20,30,31,1
10,27,23,28,29,52,1
12,27,30,35,33,37,1
14,27,39,42,31,37,1
16,27,39,50,36,44,1
18,27,51,61,46,51,1
20,27,166,157,109,109,1
22,27,186,185,114,143,1
24,27,217,231,158,138,1
