num_qubits,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments
4,6,6,18,18,0,1
4,6,6,15,15,0,1
4,6,6,18,18,0,1
6,6,13,18,24,2,3
6,6,14,18,28,2,3
6,6,13,18,21,2,3
8,6,18,15,29,2,3
8,11,18,23,21,2,3
8,14,14,21,21,0,1
10,16,26,32,32,2,3
10,26,31,49,56,2,3
10,23,31,38,54,2,3
12,26,36,37,41,2,3
12,20,32,27,35,2,3
12,22,33,29,51,2,3
14,31,37,32,40,2,3
14,24,40,32,49,2,3
14,20,41,30,46,2,3
16,40,56,53,51,2,3
16,36,47,38,45,2,3
16,36,52,57,45,2,3
18,50,62,41,48,2,3
18,45,57,38,43,2,3
18,51,65,38,70,2,3
20,61,60,69,72,2,3
20,59,66,50,64,2,3
20,47,62,30,51,2,3
22,58,73,60,59,2,3
22,65,68,41,56,2,3
22,60,66,47,63,2,3
24,74,95,56,61,2,3
24,78,88,77,56,2,3
24,77,89,85,76,2,3
26,80,92,67,84,2,3
26,77,95,48,69,2,3
26,70,94,51,80,2,3
