num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments,run_time,knit_time
2,0.0,0.0,0.0,0.0,2,2,13,12,0,1,0.0,0.0
4,0.0,0.0,0.0,0.0,8,8,32,32,0,1,0.0,0.0
6,0.0,0.0,0.0,0.0,6,14,32,35,3,2,0.0,0.0
8,0.0,0.0,0.0,0.0,12,20,44,47,3,2,0.0,0.0
10,0.0,0.0,0.0,0.0,12,26,44,51,3,2,0.0,0.0
12,0.0,0.0,0.0,0.0,12,32,44,57,6,3,0.0,0.0
14,0.0,0.0,0.0,0.0,12,45,44,89,6,3,0.0,0.0
